StudentCode,ProgramCode,Allowed,ScenarioReason
S1.0,P1.0,YES,Admitted/returnee; eligible program standing before enrollment.
S1.0,P1.1,YES,Probationary admission offer (A5.1) before first enrollment.
S1.0,P1.2,NO,SNAS requires enrolled academic activity.
S1.0,P1.3,NO,Strict Probationary (IS SAP) follows enrollment and prior P1.1.
S1.0,P1.4,YES,Ineligible on program; shift pending → S1.0 (COMBO-T004).
S1.0,P2.0,NO,Cannot be a graduation candidate before enrolling.
S1.0,P3.0,NO,Without enrollment cannot have a graduated program.
S1.0,P3.1,NO,Without enrollment should not have an incomplete program.
S2.0,P1.0,YES,Normal enrolled student in good standing.
S2.0,P1.1,YES,Active with academic warning.
S2.0,P1.2,YES,Active with SNAS standing.
S2.0,P1.3,YES,Active IS student on Strict Probationary (SAP).
S2.0,P1.4,YES,Allowed when another program is not Ineligible (multi-program).
S2.0,P2.0,YES,Active graduation candidate.
S2.0,P3.0,NO,Graduated program should drive student to S4.0 (COMBO-T001).
S2.0,P3.1,NO,"Incomplete program implies exit, not active enrollment."
S2.1,P1.0,YES,Residency student in good program standing.
S2.1,P1.1,NO,"Legacy ""Yes?"" — treated as No per decisions.md Rule 2."
S2.1,P1.2,NO,"Legacy ""Yes?"" — treated as No per decisions.md Rule 2."
S2.1,P1.3,NO,"Legacy ""Yes?"" (Ineligible) — No; Strict Probationary unlikely during residency."
S2.1,P1.4,NO,"Legacy ""Yes?"" — treated as No per decisions.md Rule 2."
S2.1,P2.0,NO,Residency activity excludes candidacy for graduation.
S2.1,P3.0,NO,Graduated program incompatible with active residency.
S2.1,P3.1,NO,Incomplete program incompatible with active residency.
S2.2,P1.0,YES,LOA retains prior eligible standing.
S2.2,P1.1,YES,Legacy combo Yes; Notes #3 tentative No — kept Yes pending stakeholder (#5).
S2.2,P1.2,NO,"Legacy ""Yes?"" — treated as No per decisions.md Rule 2."
S2.2,P1.3,NO,Strict Probationary requires active IS enrollment track.
S2.2,P1.4,NO,Ineligible not allowed while on LOA.
S2.2,P2.0,NO,"Legacy ""Yes?"" — treated as No per decisions.md Rule 2."
S2.2,P3.0,NO,Graduated program incompatible with LOA.
S2.2,P3.1,NO,Incomplete program incompatible with LOA.
S2.3,P1.0,YES,Prolonged leave retains last eligible standing (inferred).
S2.3,P1.1,YES,Retains probationary standing while inactive (inferred).
S2.3,P1.2,YES,Retains SNAS standing while inactive (inferred).
S2.3,P1.3,NO,Strict Probationary requires active IS enrollment (inferred).
S2.3,P1.4,YES,Ineligible may persist while on prolonged leave.
S2.3,P2.0,NO,Cannot be graduation candidate while on prolonged leave.
S2.3,P3.0,NO,Graduated program incompatible with prolonged leave.
S2.3,P3.1,NO,"Incomplete implies exit, not prolonged leave alone."
S3.1,P1.0,YES,AWOL retains last eligible standing.
S3.1,P1.1,YES,AWOL retains probationary standing.
S3.1,P1.2,YES,AWOL retains SNAS standing.
S3.1,P1.3,YES,AWOL retains Strict Probationary standing.
S3.1,P1.4,YES,AWOL may coexist with Ineligible (legacy P1.3→P1.4).
S3.1,P2.0,NO,AWOL cannot be graduation candidate.
S3.1,P3.0,NO,"Graduated program should drive S4.0, not AWOL."
S3.1,P3.1,NO,"Incomplete implies exit path, not AWOL alone."
S3.2,P1.0,YES,Suspension retains eligible standing.
S3.2,P1.1,YES,Suspension retains probationary standing.
S3.2,P1.2,YES,Suspension retains SNAS standing.
S3.2,P1.3,YES,Suspension retains Strict Probationary standing.
S3.2,P1.4,YES,Suspension may coexist with Ineligible.
S3.2,P2.0,NO,"Legacy ""Yes?"" — treated as No per decisions.md Rule 2."
S3.2,P3.0,NO,Graduated program should drive S4.0.
S3.2,P3.1,NO,"Incomplete implies exit, not suspension alone."
S4.0,P1.0,NO,Graduated student cannot have active academic standings.
S4.0,P1.1,NO,Graduated student cannot be probationary.
S4.0,P1.2,NO,Graduated student cannot be SNAS.
S4.0,P1.3,NO,Graduated student cannot be Strict Probationary.
S4.0,P1.4,NO,Graduated student cannot be Ineligible.
S4.0,P2.0,NO,Graduated student cannot be candidacy.
S4.0,P3.0,YES,Primary graduated pair (COMBO-T001).
S4.0,P3.1,NO,Graduated student should not have incomplete program.
S4.1,P1.0,NO,Exit converts active standing to Incomplete (COMBO-T003).
S4.1,P1.1,NO,Exit converts probationary to Incomplete.
S4.1,P1.2,NO,Exit converts SNAS to Incomplete.
S4.1,P1.3,NO,Exit converts Strict Probationary to Incomplete.
S4.1,P1.4,YES,Exit after Ineligible (legacy Yes).
S4.1,P2.0,YES,Exit after candidacy (legacy Yes; low likelihood).
S4.1,P3.0,NO,"If program Graduated, student should be S4.0."
S4.1,P3.1,YES,Exit with incomplete program (COMBO-T003).
S4.2,P1.0,NO,Terminal exit — only Incomplete program allowed.
S4.2,P1.1,NO,Terminal exit — only Incomplete program allowed.
S4.2,P1.2,NO,Terminal exit — only Incomplete program allowed.
S4.2,P1.3,NO,Terminal exit — only Incomplete program allowed.
S4.2,P1.4,NO,Terminal exit — only Incomplete program allowed.
S4.2,P2.0,NO,Terminal exit — only Incomplete program allowed.
S4.2,P3.0,NO,Terminal exit — only Incomplete program allowed.
S4.2,P3.1,YES,Only valid pairing for permanent disqualification exit.
